"Statistic Label","CensusYear","Sex","Age Group","Birthplace","UNIT","VALUE"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Algeria","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Angola","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Botswana","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Cameroon","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Congo","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Egypt","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Ethiopia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Ghana","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Côte d'Ivoire","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Kenya","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Liberia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Libya","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Malawi","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Mauritius","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Morocco","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Nigeria","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Sierra Leone","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Somalia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","South Africa","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Sudan (the)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Tanzania, the United Republic of","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Togo","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Tunisia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Uganda","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Zambia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Zimbabwe","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Other Africa(2)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Afghanistan","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Bahrain","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Bangladesh","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Myanmar","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","China","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","United Arab Emirates (the)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Georgia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Hong Kong","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","India","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Indonesia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Iran (Islamic Republic of)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Iraq","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Israel","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Japan","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Jordan","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Kazakhstan","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Kuwait","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Lao People's Democratic Republic (the)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Lebanon","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Malaysia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Mongolia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Nepal","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Oman","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Pakistan","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Philippines (the)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Saudi Arabia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Singapore","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Korea (the Republic of) South Korea","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Sri Lanka","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Syrian Arab Republic (the)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Taiwan (Province of China)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Thailand","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Uzbekistan","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Viet Nam","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Other Asia(1)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","United States of America (the)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Argentina","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Brazil","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Canada","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Chile","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Colombia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Cuba","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Guatemala","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Jamaica","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Mexico","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Peru","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Trinidad and Tobago","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Venezuela (Bolivarian Republic of)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Other America(2)","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Australia","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","New Zealand","Number","0"
"Actual change since previous census","2011","Both sexes","45 - 64 years","Other countries","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","All countries","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Ireland - county of usual residence","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Ireland - county other than county of usual residence","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Northern Ireland","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Scotland","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","England and Wales","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Austria","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Belgium","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Bulgaria","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Croatia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Cyprus","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Czechia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Denmark","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Estonia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Finland","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","France","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Germany","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Greece","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Hungary","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Italy","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Latvia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Lithuania","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Luxembourg","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Malta","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Netherlands (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Poland","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Portugal","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Romania","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Slovakia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Slovenia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Spain","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Sweden","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Albania","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Belarus","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Bosnia and Herzegovina","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Kosovo","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Moldova (the Republic of)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Norway","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Russian Federation (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Serbia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Switzerland","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Turkiye","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Ukraine","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Other Europe(1)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Algeria","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Angola","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Botswana","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Cameroon","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Congo","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Egypt","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Ethiopia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Ghana","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Côte d'Ivoire","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Kenya","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Liberia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Libya","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Malawi","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Mauritius","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Morocco","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Nigeria","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Sierra Leone","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Somalia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","South Africa","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Sudan (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Tanzania, the United Republic of","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Togo","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Tunisia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Uganda","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Zambia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Zimbabwe","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Other Africa(2)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Afghanistan","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Bahrain","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Bangladesh","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Myanmar","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","China","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","United Arab Emirates (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Georgia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Hong Kong","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","India","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Indonesia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Iran (Islamic Republic of)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Iraq","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Israel","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Japan","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Jordan","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Kazakhstan","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Kuwait","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Lao People's Democratic Republic (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Lebanon","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Malaysia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Mongolia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Nepal","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Oman","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Pakistan","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Philippines (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Saudi Arabia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Singapore","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Korea (the Republic of) South Korea","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Sri Lanka","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Syrian Arab Republic (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Taiwan (Province of China)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Thailand","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Uzbekistan","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Viet Nam","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Other Asia(1)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","United States of America (the)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Argentina","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Brazil","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Canada","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Chile","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Colombia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Cuba","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Guatemala","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Jamaica","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Mexico","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Peru","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Trinidad and Tobago","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Venezuela (Bolivarian Republic of)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Other America(2)","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Australia","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","New Zealand","Number","0"
"Actual change since previous census","2011","Both sexes","65 years and over","Other countries","Number","0"
"Actual change since previous census","2011","Male","All ages","All countries","Number","0"
"Actual change since previous census","2011","Male","All ages","Ireland - county of usual residence","Number","0"
"Actual change since previous census","2011","Male","All ages","Ireland - county other than county of usual residence","Number","0"
"Actual change since previous census","2011","Male","All ages","Northern Ireland","Number","0"
"Actual change since previous census","2011","Male","All ages","Scotland","Number","0"
"Actual change since previous census","2011","Male","All ages","England and Wales","Number","0"
"Actual change since previous census","2011","Male","All ages","Austria","Number","0"
"Actual change since previous census","2011","Male","All ages","Belgium","Number","0"
"Actual change since previous census","2011","Male","All ages","Bulgaria","Number","0"
"Actual change since previous census","2011","Male","All ages","Croatia","Number","0"
"Actual change since previous census","2011","Male","All ages","Cyprus","Number","0"
"Actual change since previous census","2011","Male","All ages","Czechia","Number","0"
"Actual change since previous census","2011","Male","All ages","Denmark","Number","0"
"Actual change since previous census","2011","Male","All ages","Estonia","Number","0"
"Actual change since previous census","2011","Male","All ages","Finland","Number","0"
"Actual change since previous census","2011","Male","All ages","France","Number","0"
"Actual change since previous census","2011","Male","All ages","Germany","Number","0"
"Actual change since previous census","2011","Male","All ages","Greece","Number","0"
"Actual change since previous census","2011","Male","All ages","Hungary","Number","0"
"Actual change since previous census","2011","Male","All ages","Italy","Number","0"
"Actual change since previous census","2011","Male","All ages","Latvia","Number","0"
"Actual change since previous census","2011","Male","All ages","Lithuania","Number","0"
"Actual change since previous census","2011","Male","All ages","Luxembourg","Number","0"
"Actual change since previous census","2011","Male","All ages","Malta","Number","0"
"Actual change since previous census","2011","Male","All ages","Netherlands (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Poland","Number","0"
"Actual change since previous census","2011","Male","All ages","Portugal","Number","0"
"Actual change since previous census","2011","Male","All ages","Romania","Number","0"
"Actual change since previous census","2011","Male","All ages","Slovakia","Number","0"
"Actual change since previous census","2011","Male","All ages","Slovenia","Number","0"
"Actual change since previous census","2011","Male","All ages","Spain","Number","0"
"Actual change since previous census","2011","Male","All ages","Sweden","Number","0"
"Actual change since previous census","2011","Male","All ages","Albania","Number","0"
"Actual change since previous census","2011","Male","All ages","Belarus","Number","0"
"Actual change since previous census","2011","Male","All ages","Bosnia and Herzegovina","Number","0"
"Actual change since previous census","2011","Male","All ages","Kosovo","Number","0"
"Actual change since previous census","2011","Male","All ages","Moldova (the Republic of)","Number","0"
"Actual change since previous census","2011","Male","All ages","Norway","Number","0"
"Actual change since previous census","2011","Male","All ages","Russian Federation (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Serbia","Number","0"
"Actual change since previous census","2011","Male","All ages","Switzerland","Number","0"
"Actual change since previous census","2011","Male","All ages","Turkiye","Number","0"
"Actual change since previous census","2011","Male","All ages","Ukraine","Number","0"
"Actual change since previous census","2011","Male","All ages","Other Europe(1)","Number","0"
"Actual change since previous census","2011","Male","All ages","Algeria","Number","0"
"Actual change since previous census","2011","Male","All ages","Angola","Number","0"
"Actual change since previous census","2011","Male","All ages","Botswana","Number","0"
"Actual change since previous census","2011","Male","All ages","Cameroon","Number","0"
"Actual change since previous census","2011","Male","All ages","Congo","Number","0"
"Actual change since previous census","2011","Male","All ages","Egypt","Number","0"
"Actual change since previous census","2011","Male","All ages","Ethiopia","Number","0"
"Actual change since previous census","2011","Male","All ages","Ghana","Number","0"
"Actual change since previous census","2011","Male","All ages","Côte d'Ivoire","Number","0"
"Actual change since previous census","2011","Male","All ages","Kenya","Number","0"
"Actual change since previous census","2011","Male","All ages","Liberia","Number","0"
"Actual change since previous census","2011","Male","All ages","Libya","Number","0"
"Actual change since previous census","2011","Male","All ages","Malawi","Number","0"
"Actual change since previous census","2011","Male","All ages","Mauritius","Number","0"
"Actual change since previous census","2011","Male","All ages","Morocco","Number","0"
"Actual change since previous census","2011","Male","All ages","Nigeria","Number","0"
"Actual change since previous census","2011","Male","All ages","Sierra Leone","Number","0"
"Actual change since previous census","2011","Male","All ages","Somalia","Number","0"
"Actual change since previous census","2011","Male","All ages","South Africa","Number","0"
"Actual change since previous census","2011","Male","All ages","Sudan (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Tanzania, the United Republic of","Number","0"
"Actual change since previous census","2011","Male","All ages","Togo","Number","0"
"Actual change since previous census","2011","Male","All ages","Tunisia","Number","0"
"Actual change since previous census","2011","Male","All ages","Uganda","Number","0"
"Actual change since previous census","2011","Male","All ages","Zambia","Number","0"
"Actual change since previous census","2011","Male","All ages","Zimbabwe","Number","0"
"Actual change since previous census","2011","Male","All ages","Other Africa(2)","Number","0"
"Actual change since previous census","2011","Male","All ages","Afghanistan","Number","0"
"Actual change since previous census","2011","Male","All ages","Bahrain","Number","0"
"Actual change since previous census","2011","Male","All ages","Bangladesh","Number","0"
"Actual change since previous census","2011","Male","All ages","Myanmar","Number","0"
"Actual change since previous census","2011","Male","All ages","China","Number","0"
"Actual change since previous census","2011","Male","All ages","United Arab Emirates (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Georgia","Number","0"
"Actual change since previous census","2011","Male","All ages","Hong Kong","Number","0"
"Actual change since previous census","2011","Male","All ages","India","Number","0"
"Actual change since previous census","2011","Male","All ages","Indonesia","Number","0"
"Actual change since previous census","2011","Male","All ages","Iran (Islamic Republic of)","Number","0"
"Actual change since previous census","2011","Male","All ages","Iraq","Number","0"
"Actual change since previous census","2011","Male","All ages","Israel","Number","0"
"Actual change since previous census","2011","Male","All ages","Japan","Number","0"
"Actual change since previous census","2011","Male","All ages","Jordan","Number","0"
"Actual change since previous census","2011","Male","All ages","Kazakhstan","Number","0"
"Actual change since previous census","2011","Male","All ages","Kuwait","Number","0"
"Actual change since previous census","2011","Male","All ages","Lao People's Democratic Republic (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Lebanon","Number","0"
"Actual change since previous census","2011","Male","All ages","Malaysia","Number","0"
"Actual change since previous census","2011","Male","All ages","Mongolia","Number","0"
"Actual change since previous census","2011","Male","All ages","Nepal","Number","0"
"Actual change since previous census","2011","Male","All ages","Oman","Number","0"
"Actual change since previous census","2011","Male","All ages","Pakistan","Number","0"
"Actual change since previous census","2011","Male","All ages","Philippines (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Saudi Arabia","Number","0"
"Actual change since previous census","2011","Male","All ages","Singapore","Number","0"
"Actual change since previous census","2011","Male","All ages","Korea (the Republic of) South Korea","Number","0"
"Actual change since previous census","2011","Male","All ages","Sri Lanka","Number","0"
"Actual change since previous census","2011","Male","All ages","Syrian Arab Republic (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Taiwan (Province of China)","Number","0"
"Actual change since previous census","2011","Male","All ages","Thailand","Number","0"
"Actual change since previous census","2011","Male","All ages","Uzbekistan","Number","0"
"Actual change since previous census","2011","Male","All ages","Viet Nam","Number","0"
"Actual change since previous census","2011","Male","All ages","Other Asia(1)","Number","0"
"Actual change since previous census","2011","Male","All ages","United States of America (the)","Number","0"
"Actual change since previous census","2011","Male","All ages","Argentina","Number","0"
"Actual change since previous census","2011","Male","All ages","Brazil","Number","0"
"Actual change since previous census","2011","Male","All ages","Canada","Number","0"
"Actual change since previous census","2011","Male","All ages","Chile","Number","0"
"Actual change since previous census","2011","Male","All ages","Colombia","Number","0"
"Actual change since previous census","2011","Male","All ages","Cuba","Number","0"
"Actual change since previous census","2011","Male","All ages","Guatemala","Number","0"
"Actual change since previous census","2011","Male","All ages","Jamaica","Number","0"
"Actual change since previous census","2011","Male","All ages","Mexico","Number","0"
"Actual change since previous census","2011","Male","All ages","Peru","Number","0"
"Actual change since previous census","2011","Male","All ages","Trinidad and Tobago","Number","0"
"Actual change since previous census","2011","Male","All ages","Venezuela (Bolivarian Republic of)","Number","0"
"Actual change since previous census","2011","Male","All ages","Other America(2)","Number","0"
"Actual change since previous census","2011","Male","All ages","Australia","Number","0"
"Actual change since previous census","2011","Male","All ages","New Zealand","Number","0"
"Actual change since previous census","2011","Male","All ages","Other countries","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","All countries","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Ireland - county of usual residence","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Ireland - county other than county of usual residence","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Northern Ireland","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Scotland","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","England and Wales","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Austria","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Belgium","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Bulgaria","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Croatia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Cyprus","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Czechia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Denmark","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Estonia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Finland","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","France","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Germany","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Greece","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Hungary","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Italy","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Latvia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Lithuania","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Luxembourg","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Malta","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Netherlands (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Poland","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Portugal","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Romania","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Slovakia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Slovenia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Spain","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Sweden","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Albania","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Belarus","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Bosnia and Herzegovina","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Kosovo","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Moldova (the Republic of)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Norway","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Russian Federation (the)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Serbia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Switzerland","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Turkiye","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Ukraine","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Other Europe(1)","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Algeria","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Angola","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Botswana","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Cameroon","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Congo","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Egypt","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Ethiopia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Ghana","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Côte d'Ivoire","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Kenya","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Liberia","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Libya","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Malawi","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Mauritius","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Morocco","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Nigeria","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Sierra Leone","Number","0"
"Actual change since previous census","2011","Male","0 - 14 years","Somalia","Number","0"
